Date,Time,PM2.5,Humid,Temp,WindSpeed,row
16-Dec,12 AM,19.23,58.91,29.90,0.00,1
16-Dec,1 AM,17.17,58.90,29.65,24.36,2
16-Dec,2 AM,15.96,58.47,29.48,0.00,3
16-Dec,3 AM,18.59,60.10,28.80,0.00,4
16-Dec,4 AM,21.65,62.04,28.09,0.00,5
16-Dec,5 AM,20.86,62.09,28.02,0.00,6
16-Dec,6 AM,17.50,61.37,28.01,0.00,7
16-Dec,7 AM,28.33,56.12,31.66,0.00,8
16-Dec,8 AM,20.70,47.77,36.02,0.00,9
16-Dec,9 AM,16.24,43.19,38.31,11.04,10
16-Dec,10 AM,13.72,36.92,41.20,12.20,11
16-Dec,11 AM,12.92,33.72,42.80,17.38,12
16-Dec,12 PM,12.76,32.08,44.08,27.45,13
16-Dec,1 PM,8.75,29.54,44.92,80.44,14
16-Dec,2 PM,9.09,28.26,46.92,23.63,15
16-Dec,3 PM,8.56,28.01,47.47,14.70,16
16-Dec,4 PM,12.08,29.96,46.74,35.96,17
16-Dec,5 PM,16.49,34.88,43.48,9.54,18
16-Dec,6 PM,33.59,40.14,39.67,3.66,19
16-Dec,7 PM,22.54,47.68,37.05,13.23,20
16-Dec,8 PM,22.36,52.82,35.04,10.78,21
16-Dec,9 PM,20.80,55.13,33.82,0.00,22
16-Dec,10 PM,19.37,56.39,32.98,0.00,23
16-Dec,11 PM,19.41,58.12,32.13,0.00,24
17-Dec,12 AM,20.62,59.54,31.42,0.00,25
17-Dec,1 AM,23.38,59.49,31.19,0.13,26
17-Dec,2 AM,22.32,61.23,30.05,4.84,27
17-Dec,3 AM,19.84,61.52,29.57,4.08,28
17-Dec,4 AM,19.02,61.00,29.50,8.82,29
17-Dec,5 AM,23.91,61.24,29.18,0.00,30
17-Dec,6 AM,36.44,61.24,29.15,0.37,31
17-Dec,7 AM,26.37,56.58,32.05,0.07,32
17-Dec,8 AM,20.47,46.88,37.34,0.33,33
17-Dec,9 AM,21.67,41.65,39.58,14.37,34
17-Dec,10 AM,18.28,36.06,41.74,53.25,35
17-Dec,11 AM,11.70,33.61,42.43,326.47,36
17-Dec,12 PM,8.37,32.99,42.94,230.07,37
17-Dec,1 PM,7.46,32.26,43.84,245.42,38
17-Dec,2 PM,7.98,33.52,43.22,193.92,39
17-Dec,3 PM,8.70,35.78,42.08,162.57,40
17-Dec,4 PM,11.53,38.23,41.46,52.50,41
17-Dec,5 PM,9.87,40.37,39.91,42.88,42
17-Dec,6 PM,8.91,43.70,37.85,31.66,43
17-Dec,7 PM,7.06,45.40,36.71,110.79,44
17-Dec,8 PM,5.67,46.24,36.05,225.45,45
17-Dec,9 PM,6.03,47.35,35.73,242.30,46
17-Dec,10 PM,7.21,48.57,35.15,386.29,47
17-Dec,11 PM,8.54,48.34,34.96,355.01,48
18-Dec,12 AM,8.09,47.01,35.11,41.86,49
18-Dec,1 AM,7.76,46.11,35.08,26.47,50
18-Dec,2 AM,8.79,48.34,34.28,9.63,51
18-Dec,3 AM,9.50,49.61,33.69,0.53,52
18-Dec,4 AM,9.26,49.84,33.29,1.76,53
18-Dec,5 AM,10.88,49.82,32.80,15.88,54
18-Dec,6 AM,15.39,48.51,31.84,146.06,55
18-Dec,7 AM,18.51,48.45,31.20,317.18,56
18-Dec,8 AM,18.01,45.31,32.77,280.02,57
18-Dec,9 AM,17.10,42.28,34.82,219.11,58
18-Dec,10 AM,17.14,39.58,36.74,371.27,59
18-Dec,11 AM,15.79,36.94,38.31,416.99,60
18-Dec,12 PM,14.43,35.26,39.83,323.75,61
18-Dec,1 PM,12.26,32.31,42.03,239.53,62
18-Dec,2 PM,15.75,33.20,41.28,382.24,63
18-Dec,3 PM,13.47,33.99,40.62,416.58,64
18-Dec,4 PM,14.85,35.11,39.73,357.83,65
18-Dec,5 PM,17.04,38.61,37.17,378.97,66
18-Dec,6 PM,19.30,41.79,35.09,211.69,67
18-Dec,7 PM,19.92,43.60,34.16,63.36,68
18-Dec,8 PM,18.05,43.86,33.67,56.38,69
18-Dec,9 PM,21.22,44.75,33.19,36.44,70
18-Dec,10 PM,22.65,48.62,31.83,108.21,71
18-Dec,11 PM,16.47,49.06,31.51,112.06,72
19-Dec,12 AM,11.09,46.51,31.35,260.88,73
19-Dec,1 AM,10.06,46.91,30.68,418.92,74
19-Dec,2 AM,11.50,48.05,30.20,287.81,75
19-Dec,3 AM,10.38,47.13,30.03,198.58,76
19-Dec,4 AM,10.17,47.57,29.86,13.64,77
19-Dec,5 AM,10.39,49.36,29.16,42.78,78
19-Dec,6 AM,10.35,49.34,28.76,87.90,79
19-Dec,7 AM,18.15,48.46,29.78,82.06,80
19-Dec,8 AM,11.94,41.06,33.49,27.57,81
19-Dec,9 AM,10.57,36.63,36.08,36.21,82
19-Dec,10 AM,10.20,34.53,37.41,43.41,83
19-Dec,11 AM,8.67,32.25,39.38,7.88,84
19-Dec,12 PM,8.38,29.95,40.77,40.53,85
19-Dec,1 PM,9.64,32.11,39.75,49.73,86
19-Dec,2 PM,13.59,35.23,38.22,31.70,87
19-Dec,3 PM,19.47,40.11,36.87,18.32,88
19-Dec,4 PM,17.96,39.96,36.00,19.72,89
19-Dec,5 PM,19.09,40.32,34.68,3.68,90
19-Dec,6 PM,32.68,46.58,32.66,0.00,91
19-Dec,7 PM,32.18,49.87,31.31,0.00,92
19-Dec,8 PM,30.58,52.22,30.25,0.94,93
19-Dec,9 PM,28.34,52.87,29.44,10.31,94
19-Dec,10 PM,25.03,51.40,29.13,1.01,95
19-Dec,11 PM,34.05,55.48,27.99,0.00,96
20-Dec,12 AM,31.03,57.95,26.97,0.00,97
20-Dec,1 AM,32.31,59.93,26.19,0.00,98
20-Dec,2 AM,28.88,60.45,25.86,0.81,99
20-Dec,3 AM,26.89,59.33,25.73,1.68,100
20-Dec,4 AM,27.85,61.91,25.10,0.00,101
20-Dec,5 AM,25.84,61.78,24.91,0.00,102
20-Dec,6 AM,33.63,63.37,24.38,0.00,103
20-Dec,7 AM,33.33,58.82,27.47,0.00,104
20-Dec,8 AM,29.36,50.29,31.44,0.60,105
20-Dec,9 AM,26.87,41.39,34.63,8.10,106
20-Dec,10 AM,26.14,37.62,36.40,7.81,107
20-Dec,11 AM,24.56,34.43,38.31,16.86,108
20-Dec,12 PM,21.17,32.43,39.66,24.28,109
20-Dec,1 PM,17.94,30.26,41.04,45.88,110
20-Dec,2 PM,22.09,31.74,40.69,154.57,111
20-Dec,3 PM,27.49,32.71,40.93,59.49,112
20-Dec,4 PM,38.24,34.09,40.33,23.77,113
20-Dec,5 PM,39.72,39.86,36.94,41.70,114
20-Dec,6 PM,44.07,45.99,34.16,1.84,115
20-Dec,7 PM,71.05,48.57,33.15,1.00,116
20-Dec,8 PM,85.58,51.51,32.20,0.44,117
20-Dec,9 PM,61.77,53.24,31.40,0.00,118
20-Dec,10 PM,57.24,55.80,30.10,0.03,119
20-Dec,11 PM,48.77,57.44,29.09,0.00,120
21-Dec,12 AM,51.91,59.16,28.10,0.00,121
21-Dec,1 AM,61.21,60.62,27.41,0.00,122
21-Dec,2 AM,51.67,61.48,26.67,0.00,123
21-Dec,3 AM,40.18,59.88,26.78,0.00,124
21-Dec,4 AM,42.14,61.51,26.26,8.64,125
21-Dec,5 AM,43.00,61.97,25.60,2.69,126
21-Dec,6 AM,45.29,61.45,25.47,6.74,127
21-Dec,7 AM,43.49,57.53,27.77,2.79,128
21-Dec,8 AM,36.69,48.89,32.98,0.15,129
21-Dec,9 AM,28.71,38.77,37.33,1.11,130
21-Dec,10 AM,28.54,34.84,38.82,7.37,131
21-Dec,11 AM,28.71,32.77,40.11,7.88,132
21-Dec,12 PM,28.58,32.12,40.47,8.17,133
21-Dec,1 PM,23.73,30.06,42.05,17.40,134
21-Dec,2 PM,22.96,28.91,42.95,26.75,135
21-Dec,3 PM,31.28,29.70,43.12,71.82,136
21-Dec,4 PM,41.70,33.33,41.16,37.10,137
21-Dec,5 PM,46.77,37.00,38.73,5.99,138
21-Dec,6 PM,50.22,43.45,36.06,0.67,139
21-Dec,7 PM,53.25,49.55,34.05,17.83,140
21-Dec,8 PM,48.27,51.04,33.13,3.17,141
21-Dec,9 PM,48.36,51.57,32.91,0.03,142
21-Dec,10 PM,49.98,53.94,32.14,7.10,143
21-Dec,11 PM,44.94,55.53,31.39,2.95,144
22-Dec,12 AM,37.37,56.70,30.71,7.02,145
22-Dec,1 AM,40.78,59.01,29.66,0.03,146
22-Dec,2 AM,40.07,60.02,29.00,1.78,147
22-Dec,3 AM,34.74,58.75,28.74,1.53,148
22-Dec,4 AM,34.40,59.66,28.34,0.38,149
22-Dec,5 AM,42.55,61.53,28.04,0.82,150
22-Dec,6 AM,43.44,62.15,27.44,0.00,151
22-Dec,7 AM,71.42,60.93,28.09,0.00,152
22-Dec,8 AM,50.35,52.41,33.15,0.13,153
22-Dec,9 AM,33.95,41.07,37.69,0.87,154
22-Dec,10 AM,26.32,35.27,40.29,6.58,155
22-Dec,11 AM,23.64,32.53,41.77,16.89,156
22-Dec,12 PM,21.00,31.15,42.89,22.57,157
22-Dec,1 PM,18.93,28.88,44.07,52.28,158
22-Dec,2 PM,17.16,26.44,45.31,35.98,159
22-Dec,3 PM,20.72,27.46,45.37,54.58,160
22-Dec,4 PM,25.56,31.48,43.76,39.27,161
22-Dec,5 PM,29.40,35.42,41.35,2.88,162
22-Dec,6 PM,39.51,42.35,37.51,1.48,163
22-Dec,7 PM,47.63,50.28,34.53,20.08,164
22-Dec,8 PM,39.64,52.41,32.76,10.33,165
22-Dec,9 PM,42.45,54.39,31.72,14.86,166
22-Dec,10 PM,38.83,54.74,31.35,0.00,167
22-Dec,11 PM,37.87,55.70,30.77,0.00,168
23-Dec,12 AM,40.29,57.16,30.27,0.00,169
23-Dec,1 AM,39.61,58.36,29.76,0.00,170
23-Dec,2 AM,35.98,59.57,29.09,1.91,171
23-Dec,3 AM,29.76,58.67,29.65,0.00,172
23-Dec,4 AM,28.59,58.11,30.21,0.00,173
23-Dec,5 AM,32.28,60.72,29.18,0.23,174
23-Dec,6 AM,31.07,62.02,28.45,0.41,175
23-Dec,7 AM,29.89,58.29,30.66,1.72,176
