Date,Time,PM2.5,Humid,Temp,WindSpeed,row
16-Dec,12 AM,nan,nan,nan,nan,1
16-Dec,1 AM,7.36,68.28,28.93,803.00,2
16-Dec,2 AM,nan,nan,nan,nan,3
16-Dec,3 AM,nan,nan,nan,nan,4
16-Dec,4 AM,nan,nan,nan,nan,5
16-Dec,5 AM,nan,nan,nan,nan,6
16-Dec,6 AM,nan,nan,nan,nan,7
16-Dec,7 AM,nan,nan,nan,nan,8
16-Dec,8 AM,nan,nan,nan,nan,9
16-Dec,9 AM,15.54,50.96,38.32,0.00,10
16-Dec,10 AM,15.12,44.30,41.57,0.00,11
16-Dec,11 AM,15.88,41.15,43.05,0.53,12
16-Dec,12 PM,10.79,38.89,43.72,13.87,13
16-Dec,1 PM,9.01,38.85,42.96,50.21,14
16-Dec,2 PM,10.10,37.83,44.11,22.57,15
16-Dec,3 PM,8.46,36.28,45.73,2.63,16
16-Dec,4 PM,10.60,38.68,44.31,0.27,17
16-Dec,5 PM,14.28,43.94,41.55,0.67,18
16-Dec,6 PM,21.22,49.53,38.09,0.00,19
16-Dec,7 PM,27.71,56.90,35.49,0.00,20
16-Dec,8 PM,33.27,60.12,34.12,0.00,21
16-Dec,9 PM,20.36,63.36,32.76,0.00,22
16-Dec,10 PM,22.22,63.74,32.50,0.00,23
16-Dec,11 PM,20.07,64.88,31.88,0.00,24
17-Dec,12 AM,20.10,66.96,31.18,0.00,25
17-Dec,1 AM,26.01,68.43,30.84,0.00,26
17-Dec,2 AM,21.86,73.68,28.70,0.08,27
17-Dec,3 AM,18.71,70.82,29.02,0.00,28
17-Dec,4 AM,18.74,69.40,29.31,0.27,29
17-Dec,5 AM,17.96,71.39,28.67,0.00,30
17-Dec,6 AM,18.90,69.21,29.05,0.00,31
17-Dec,7 AM,28.73,64.16,31.65,0.00,32
17-Dec,8 AM,23.90,55.78,36.39,0.00,33
17-Dec,9 AM,20.86,49.19,39.36,0.00,34
17-Dec,10 AM,19.13,42.88,41.47,42.95,35
17-Dec,11 AM,11.18,43.95,39.83,218.08,36
17-Dec,12 PM,8.12,41.43,41.79,185.87,37
17-Dec,1 PM,7.41,41.57,41.97,216.27,38
17-Dec,2 PM,7.97,42.66,41.57,219.92,39
17-Dec,3 PM,8.64,45.64,40.01,194.53,40
17-Dec,4 PM,12.66,47.65,39.45,72.82,41
17-Dec,5 PM,9.89,49.04,38.42,29.78,42
17-Dec,6 PM,7.36,51.62,36.80,47.13,43
17-Dec,7 PM,5.99,52.54,35.93,214.08,44
17-Dec,8 PM,5.15,52.48,35.97,197.90,45
17-Dec,9 PM,5.48,53.92,35.36,371.11,46
17-Dec,10 PM,6.73,54.95,34.83,454.32,47
17-Dec,11 PM,8.17,55.96,34.16,479.53,48
18-Dec,12 AM,7.89,54.83,34.10,262.43,49
18-Dec,1 AM,7.67,54.05,34.05,101.17,50
18-Dec,2 AM,7.94,54.26,34.25,18.58,51
18-Dec,3 AM,8.35,55.56,33.57,5.47,52
18-Dec,4 AM,8.63,54.76,33.23,2.63,53
18-Dec,5 AM,10.81,56.48,32.44,37.57,54
18-Dec,6 AM,14.62,55.13,31.48,300.66,55
18-Dec,7 AM,17.75,55.64,30.71,392.72,56
18-Dec,8 AM,16.91,53.21,31.96,338.35,57
18-Dec,9 AM,16.44,51.52,33.24,380.39,58
18-Dec,10 AM,16.10,50.73,33.93,626.83,59
18-Dec,11 AM,15.10,48.22,35.48,559.67,60
18-Dec,12 PM,13.70,46.15,37.05,435.42,61
18-Dec,1 PM,12.13,42.97,39.08,318.74,62
18-Dec,2 PM,13.80,45.30,37.60,545.23,63
18-Dec,3 PM,13.09,44.84,37.73,508.49,64
18-Dec,4 PM,15.04,44.88,37.65,398.33,65
18-Dec,5 PM,16.23,47.36,35.98,353.01,66
18-Dec,6 PM,19.33,48.73,34.90,179.26,67
18-Dec,7 PM,19.62,50.76,33.69,155.88,68
18-Dec,8 PM,17.15,50.11,33.55,131.13,69
18-Dec,9 PM,18.25,51.27,33.10,94.07,70
18-Dec,10 PM,18.76,54.16,32.12,121.28,71
18-Dec,11 PM,15.35,55.02,31.53,234.78,72
19-Dec,12 AM,10.31,52.05,31.53,390.77,73
19-Dec,1 AM,9.80,52.57,30.94,394.75,74
19-Dec,2 AM,11.06,54.60,29.97,388.73,75
19-Dec,3 AM,10.02,54.26,29.46,464.05,76
19-Dec,4 AM,8.51,52.44,29.60,456.63,77
19-Dec,5 AM,7.35,51.62,29.49,326.33,78
19-Dec,6 AM,6.60,50.19,29.91,283.28,79
19-Dec,7 AM,8.93,49.35,30.80,185.74,80
19-Dec,8 AM,10.23,46.57,33.79,14.53,81
19-Dec,9 AM,9.39,42.59,36.77,12.68,82
19-Dec,10 AM,9.18,40.22,38.72,8.66,83
19-Dec,11 AM,8.23,40.30,38.13,7.31,84
19-Dec,12 PM,8.24,38.08,39.81,7.07,85
19-Dec,1 PM,9.42,40.95,38.41,38.16,86
19-Dec,2 PM,11.80,43.35,36.77,20.23,87
19-Dec,3 PM,17.88,46.79,36.33,0.00,88
19-Dec,4 PM,14.98,46.13,34.67,36.47,89
19-Dec,5 PM,16.16,47.63,33.15,9.81,90
19-Dec,6 PM,20.52,50.51,32.19,0.00,91
19-Dec,7 PM,24.93,53.03,31.02,0.13,92
19-Dec,8 PM,23.88,55.52,30.07,0.73,93
19-Dec,9 PM,20.44,56.12,29.43,0.88,94
19-Dec,10 PM,20.83,57.42,28.89,1.19,95
19-Dec,11 PM,22.95,59.16,28.16,0.00,96
20-Dec,12 AM,25.33,63.17,26.92,0.00,97
20-Dec,1 AM,27.08,64.60,26.42,0.00,98
20-Dec,2 AM,23.93,65.28,26.07,0.00,99
20-Dec,3 AM,24.79,68.35,25.08,3.88,100
20-Dec,4 AM,25.50,70.18,24.81,0.00,101
20-Dec,5 AM,26.82,68.72,24.80,0.00,102
20-Dec,6 AM,32.74,70.25,24.26,0.00,103
20-Dec,7 AM,30.51,66.25,26.77,0.00,104
20-Dec,8 AM,27.19,58.37,30.96,0.00,105
20-Dec,9 AM,24.75,48.92,34.41,0.15,106
20-Dec,10 AM,24.42,43.60,37.09,1.22,107
20-Dec,11 AM,23.16,41.82,38.02,3.28,108
20-Dec,12 PM,21.42,40.29,39.13,7.63,109
20-Dec,1 PM,18.05,38.08,40.33,5.81,110
20-Dec,2 PM,23.04,39.12,40.02,72.42,111
20-Dec,3 PM,24.61,40.41,39.84,32.21,112
20-Dec,4 PM,33.78,42.69,38.78,3.23,113
20-Dec,5 PM,35.23,48.19,35.82,4.12,114
20-Dec,6 PM,42.60,54.06,33.06,9.37,115
20-Dec,7 PM,100.98,54.30,32.52,0.00,116
20-Dec,8 PM,93.60,55.18,32.05,2.09,117
20-Dec,9 PM,59.83,61.30,30.51,1.68,118
20-Dec,10 PM,52.86,63.75,29.53,0.00,119
20-Dec,11 PM,48.43,64.01,28.57,0.00,120
21-Dec,12 AM,60.24,66.00,27.90,0.00,121
21-Dec,1 AM,60.00,67.81,27.06,0.00,122
21-Dec,2 AM,42.11,68.58,26.31,2.43,123
21-Dec,3 AM,34.92,64.88,26.95,0.00,124
21-Dec,4 AM,36.91,68.54,25.89,14.70,125
21-Dec,5 AM,34.69,68.62,25.40,7.58,126
21-Dec,6 AM,34.49,67.52,25.51,0.05,127
21-Dec,7 AM,35.69,66.66,26.66,5.92,128
21-Dec,8 AM,31.49,57.88,31.44,0.00,129
21-Dec,9 AM,26.44,46.98,37.14,0.00,130
21-Dec,10 AM,27.40,41.40,39.86,0.28,131
21-Dec,11 AM,26.96,39.70,40.11,2.07,132
21-Dec,12 PM,26.91,39.04,40.19,3.13,133
21-Dec,1 PM,23.36,37.64,41.54,3.11,134
21-Dec,2 PM,22.20,36.25,42.87,1.43,135
21-Dec,3 PM,27.54,36.79,42.34,9.63,136
21-Dec,4 PM,39.71,41.19,40.05,13.61,137
21-Dec,5 PM,43.83,44.32,37.97,0.00,138
21-Dec,6 PM,61.33,51.35,35.14,0.00,139
21-Dec,7 PM,51.72,59.21,32.60,13.14,140
21-Dec,8 PM,47.82,58.84,32.38,1.45,141
21-Dec,9 PM,46.53,59.11,32.43,0.00,142
21-Dec,10 PM,44.66,61.70,31.54,0.00,143
21-Dec,11 PM,37.40,63.46,30.75,0.00,144
22-Dec,12 AM,33.87,63.59,30.34,3.33,145
22-Dec,1 AM,36.48,68.24,28.94,1.01,146
22-Dec,2 AM,32.00,67.65,28.24,4.21,147
22-Dec,3 AM,28.85,65.50,28.08,4.78,148
22-Dec,4 AM,30.65,64.85,28.44,0.42,149
22-Dec,5 AM,43.13,67.58,28.19,0.00,150
22-Dec,6 AM,39.40,67.33,27.70,0.23,151
22-Dec,7 AM,45.15,69.73,27.45,0.13,152
22-Dec,8 AM,47.69,59.44,32.97,0.00,153
22-Dec,9 AM,27.26,47.85,37.66,0.00,154
22-Dec,10 AM,23.34,42.04,40.61,0.00,155
22-Dec,11 AM,21.91,40.20,41.65,3.87,156
22-Dec,12 PM,18.64,38.66,42.31,9.58,157
22-Dec,1 PM,17.71,36.81,43.25,13.54,158
22-Dec,2 PM,16.50,33.97,44.62,5.24,159
22-Dec,3 PM,18.53,34.60,44.32,3.03,160
22-Dec,4 PM,23.83,39.01,42.61,6.49,161
22-Dec,5 PM,30.67,44.58,39.42,0.00,162
22-Dec,6 PM,36.75,51.37,36.02,0.00,163
22-Dec,7 PM,38.64,59.97,32.78,11.65,164
22-Dec,8 PM,35.01,60.21,31.67,18.45,165
22-Dec,9 PM,40.22,60.15,31.53,10.45,166
22-Dec,10 PM,37.01,61.94,30.87,0.45,167
22-Dec,11 PM,38.46,64.26,30.22,0.00,168
23-Dec,12 AM,34.58,64.69,29.79,0.00,169
23-Dec,1 AM,43.23,63.07,29.94,0.00,170
23-Dec,2 AM,33.11,69.10,28.20,30.57,171
23-Dec,3 AM,25.17,65.65,29.29,0.00,172
23-Dec,4 AM,23.78,63.46,30.31,0.00,173
23-Dec,5 AM,27.13,68.31,28.95,0.00,174
23-Dec,6 AM,37.64,70.04,28.25,0.00,175
23-Dec,7 AM,34.21,64.06,30.08,5.88,176
23-Dec,8 AM,35.02,60.25,33.51,0.00,177
23-Dec,9 AM,26.24,49.01,38.90,0.00,178
23-Dec,10 AM,21.24,43.46,41.83,0.00,179
23-Dec,11 AM,18.37,41.11,42.84,0.00,180
23-Dec,12 PM,14.76,40.17,42.25,21.22,181
23-Dec,1 PM,14.91,39.67,43.11,15.03,182
23-Dec,2 PM,14.31,38.88,43.80,1.17,183
23-Dec,3 PM,14.68,40.95,42.34,0.66,184
23-Dec,4 PM,15.32,47.37,39.35,5.10,185
23-Dec,5 PM,16.36,49.82,37.96,0.00,186
23-Dec,6 PM,22.58,54.05,36.16,0.00,187
23-Dec,7 PM,21.70,55.35,35.72,0.00,188
23-Dec,8 PM,24.74,58.72,34.46,2.69,189
23-Dec,9 PM,19.45,59.69,33.51,227.38,190
23-Dec,10 PM,22.66,66.34,32.45,286.93,191
